original_prompt,final_prompt,video_path,overall_cultural_relevance,person_cultural_relevance,action_cultural_relevance,location_cultural_relevance,overall_avg,person_avg,action_avg,location_avg,vlm_overall_score,vlm_person_score,vlm_action_score,vlm_location_score,VQA_A,VQA_T,IS,clip_temp_score,warping_error,face_consistency_score,flow_score,clip_score,blip_bleu,sd_score,Visual_Quality,Temporal_Consistency
a Chinese person playing guzheng at West Lake.,a Chinese person playing guzheng at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/ww-ht9iaU5c.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2195977300405502,0.2329142689704895,0.3202679932117462,0.2262199431657791,5,4,5,1,11.11,81.42,1.05,99.9,0.0304,99.66,2.6,16.57,33.33,78.37,56.89,57.55
a Chinese person playing guzheng at the Potala Palace.,a Chinese person playing guzheng at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/vapOc8kC8R4.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2180058628320694,0.2217210203409195,0.3168024837970734,0.1930544823408126,5,4,5,1,23.62,79.3,1.06,99.9,0.0183,99.84,3.63,14.79,30.0,77.72,58.46,60.56
a Chinese person playing erhu at the Forbidden City.,a Chinese person playing erhu at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/YnWSHpmZ7l8.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2150173902511596,0.2424179911613464,0.2554126232862472,0.1867076963186264,5,1,5,2,44.54,84.23,1.16,99.76,0.0723,99.52,15.35,10.7,22.22,77.6,62.31,45.89
a Chinese person playing erhu at West Lake.,a Chinese person playing erhu at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/sFdJmpxJkNg.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows West Lake in China.,0.234719181060791,0.2674522817134857,0.2697486877441406,0.2394201427698135,5,4,5,1,58.31,79.61,1.13,98.79,0.0322,98.2,10.43,13.77,25.0,79.16,63.71,39.68
a Chinese person playing erhu at the Potala Palace.,a Chinese person playing erhu at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/6Kt4dyL5Esk.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2317158490419388,0.2639471590518951,0.3012109279632568,0.1952318549156189,5,4,5,1,75.79,95.48,1.1,99.05,0.0329,98.78,8.62,11.71,22.22,78.22,68.63,43.86
a Chinese person playing dizi at the Forbidden City.,a Chinese person playing dizi at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/SS79T4sBHtY.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2549299031496048,0.2872827589511871,0.3221845805644989,0.2554465025663376,5,5,5,5,60.32,97.95,1.19,99.81,0.0179,99.09,3.72,15.42,22.22,78.68,66.66,58.62
a Chinese person playing dizi at West Lake.,a Chinese person playing dizi at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/yPq-dXyHKC4.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2336325764656067,0.2806525111198425,0.3274526298046112,0.2446678638458252,5,5,1,2,56.1,93.94,1.22,99.51,0.0193,98.85,3.78,17.21,22.22,78.85,65.44,53.73
a Chinese person playing dizi at the Potala Palace.,a Chinese person playing dizi at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/qibmSfAtXGs.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2400911509990692,0.2756301522254943,0.3336387455463409,0.2374508768320083,5,5,2,5,19.48,86.58,1.37,99.68,0.0262,98.96,5.28,13.89,20.0,77.96,58.87,54.67
a Chinese person dancing fan dance at the Forbidden City.,a Chinese person dancing fan dance at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/QG7xjPfwu4o.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2618936359882354,0.2925747752189636,0.2988438427448273,0.2699017345905304,5,5,4,5,49.44,93.05,1.55,98.95,0.0912,98.07,9.63,14.0,20.0,78.31,64.29,28.44
a Chinese person dancing fan dance at West Lake.,a Chinese person dancing fan dance at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/KityUNVM0-Q.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2544885694980621,0.2841671705245971,0.2873879730701446,0.2796089649200439,5,5,5,4,43.03,91.24,1.56,98.3,0.0628,96.58,8.58,15.47,16.67,77.38,63.07,24.13
a Chinese person dancing fan dance at the Potala Palace.,a Chinese person dancing fan dance at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/xmaTsY2Qu_I.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2345730513334274,0.2770003139972686,0.3009683907032013,0.2395093470811843,5,5,5,3,23.46,86.42,1.69,99.18,0.0668,97.94,8.9,12.79,30.0,77.84,59.42,37.3
a Chinese person dancing ribbon dance at the Forbidden City.,a Chinese person dancing ribbon dance at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/wb8Qi6zrMDU.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2625097513198852,0.292375636100769,0.2901129126548767,0.2652005404233932,5,5,5,5,49.23,95.5,1.63,99.48,0.1158,98.76,16.93,14.04,20.0,77.75,64.61,31.23
a Chinese person dancing ribbon dance at West Lake.,a Chinese person dancing ribbon dance at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/Xjp7BDeFnFk.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2452269971370697,0.2754311263561249,0.3079149842262268,0.2656135678291321,4,3,5,1,14.4,85.12,1.59,98.29,0.0862,96.69,5.31,16.11,20.0,77.98,57.88,18.83
a Chinese person dancing ribbon dance at the Potala Palace.,a Chinese person dancing ribbon dance at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/qLczDL1AXuo.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2424828380346298,0.2748144745826721,0.3101718366146088,0.2487005859613418,5,4,5,1,35.09,77.57,1.79,98.76,0.113,94.5,26.11,15.29,15.38,78.61,59.89,17.57
a Chinese person dancing umbrella dance at the Forbidden City.,a Chinese person dancing umbrella dance at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/cZrlAJ23BIo.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing umbrella dance, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2560179233551025,0.2831784069538116,0.3037296652793884,0.2729556202888489,5,4,5,5,19.11,82.14,1.6,99.2,0.0619,97.78,8.0,13.02,30.0,78.2,58.16,38.49
a Chinese person dancing umbrella dance at West Lake.,a Chinese person dancing umbrella dance at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/h3d1SqNL_PE.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing umbrella dance, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2362415105104446,0.261954578757286,0.2670370370149612,0.2574971199035644,1,1,1,1,42.78,91.59,1.43,98.37,0.0291,96.88,7.44,15.74,33.09,69.85,63.09,33.04
a Chinese person dancing umbrella dance at the Potala Palace.,a Chinese person dancing umbrella dance at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/dc6SAzBRUQs.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing umbrella dance, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2513889670372009,0.2786413609981537,0.3231963574886322,0.2526533812284469,5,4,5,5,48.05,84.88,1.21,99.22,0.0535,97.51,8.72,14.97,19.89,69.18,62.93,40.58
a American person eating hot dogs at the Statue of Liberty.,a American person eating hot dogs at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/Ejqbkg7SW3A.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts eating hot dogs, a practice associated with American culture.",This image shows the Statue of Liberty in United States.,0.255982881784439,0.2803769946098328,0.2762145578861236,0.2702268779277801,5,3,5,5,16.51,86.2,1.22,99.86,0.0023,98.15,0.95,14.43,27.27,68.29,58.38,62.04
a American person eating hot dogs at the Grand Canyon.,a American person eating hot dogs at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/bqGIfY_sjxc.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts eating hot dogs, a practice associated with American culture.",This image shows the Grand Canyon in United States.,0.2203119128942489,0.2154961794614792,0.2720790326595306,0.2630277276039123,5,1,5,5,42.22,95.8,1.14,99.94,0.0028,99.51,1.66,12.5,18.18,67.57,63.63,64.41
a American person eating hot dogs at Mount Rushmore.,a American person eating hot dogs at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/oyWOCOQAK68.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts eating hot dogs, a practice associated with American culture.",This image shows Mount Rushmore in United States.,0.2377675086259842,0.2384499609470367,0.294389420747757,0.3070054352283478,5,1,5,5,55.97,75.75,1.0,99.47,0.0008,98.69,2.3,11.89,30.0,68.75,62.81,57.13
a American person eating burgers at the Statue of Liberty.,a American person eating burgers at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/LClhOSe09tc.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts eating burgers, a practice associated with American culture.",This image shows the Statue of Liberty in United States.,0.2538474112749099,0.2796404480934143,0.2982638955116272,0.2934538841247558,5,1,5,5,20.09,96.1,1.13,99.89,0.0013,98.97,1.28,14.15,30.0,69.26,60.35,63.45
a American person eating burgers at the Grand Canyon.,a American person eating burgers at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/1Sq3PRC9kIE.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts eating burgers, a practice associated with American culture.",This image shows the Grand Canyon in United States.,0.2250710785388946,0.2164186656475067,0.2803709268569946,0.2703372359275818,5,1,5,5,65.47,97.79,1.07,99.76,0.0026,99.26,1.66,12.38,20.0,69.06,67.42,61.52
a American person eating burgers at Mount Rushmore.,a American person eating burgers at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/yOE_tfmObY4.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts eating burgers, a practice associated with American culture.",This image shows Mount Rushmore in United States.,0.2396213084459305,0.2412192225456237,0.3067575335502625,0.2933673977851868,5,2,5,5,52.9,98.0,1.11,99.7,0.0021,98.25,2.86,11.92,18.18,68.79,65.56,59.82
a American person eating pizza slice at the Statue of Liberty.,a American person eating pizza slice at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/8p8sIq3mWBc.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts eating pizza slice, a practice associated with American culture.",This image shows the Statue of Liberty in United States.,0.2589618384838104,0.2769228637218475,0.3282217800617218,0.2819455087184906,5,2,4,5,9.77,87.68,1.12,99.88,0.0008,99.22,0.5,13.08,35.71,69.61,57.59,63.62
a American person eating pizza slice at the Grand Canyon.,a American person eating pizza slice at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/qubdvPB7wf4.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts eating pizza slice, a practice associated with American culture.",This image shows the Grand Canyon in United States.,0.2241549760103225,0.2083058446645736,0.3013616323471069,0.2630135238170624,5,1,2,5,72.2,88.99,1.01,99.98,0.0009,99.79,1.88,12.19,38.46,66.85,67.16,65.61
a American person eating pizza slice at Mount Rushmore.,a American person eating pizza slice at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/LPw8fWJcF3U.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts eating pizza slice, a practice associated with American culture.",This image shows Mount Rushmore in United States.,0.2355034947395324,0.2331982135772705,0.2995742082595825,0.2756671369075775,5,2,4,5,37.98,89.1,1.1,99.86,0.0021,99.02,3.53,11.68,18.18,67.28,62.03,62.94
a American person playing banjo at the Statue of Liberty.,a American person playing banjo at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/OBwPwvR8lY4.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts playing banjo, a practice associated with American culture.",This image shows the Statue of Liberty in United States.,0.2362245291471481,0.263159966468811,0.2743651866912842,0.2717418849468231,5,2,5,5,22.23,97.42,1.02,99.68,0.0238,98.27,2.2,11.95,31.25,69.09,60.87,54.71
a American person playing banjo at the Grand Canyon.,a American person playing banjo at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/nFpnZvGnVl8.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts playing banjo, a practice associated with American culture.",This image shows the Grand Canyon in United States.,0.2168462604284286,0.2324759125709533,0.2985445380210876,0.2617639422416687,5,4,5,5,29.79,93.9,1.0,99.84,0.0169,99.38,3.55,13.37,33.33,69.49,61.5,59.57
a American person playing banjo at Mount Rushmore.,a American person playing banjo at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/Bkv2kEznkac.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts playing banjo, a practice associated with American culture.",This image shows Mount Rushmore in United States.,0.2015166014432907,0.2308977037668228,0.2845157742500305,0.1740024983882904,5,4,5,5,26.44,90.26,1.0,99.6,0.0173,98.95,5.75,12.44,37.5,67.9,60.47,55.54
a American person playing electric guitar at the Statue of Liberty.,a American person playing electric guitar at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/v40PO8Q7zLY.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts playing electric guitar, a practice associated with American culture.",This image shows the Statue of Liberty in United States.,0.2062958478927612,0.2347207427024841,0.2907243132591247,0.1990084409713745,2,1,4,1,25.0,86.62,1.05,99.07,0.0181,98.62,6.15,17.09,35.59,69.47,59.73,47.4
a American person playing electric guitar at the Grand Canyon.,a American person playing electric guitar at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/XAlyB3jjpTw.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts playing electric guitar, a practice associated with American culture.",This image shows the Grand Canyon in United States.,0.1974671244621277,0.2149807274341583,0.2745750188827515,0.2659919679164886,5,3,5,5,17.71,98.33,1.04,99.9,0.012,99.47,4.2,15.75,28.57,68.16,60.32,61.66
a American person playing electric guitar at Mount Rushmore.,a American person playing electric guitar at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/C2zyzsVOuFw.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts playing electric guitar, a practice associated with American culture.",This image shows Mount Rushmore in United States.,0.189236244559288,0.2161567598581314,0.2851283013820648,0.217210778594017,5,4,5,5,26.01,91.78,1.04,99.79,0.0192,99.31,6.12,14.35,44.44,68.85,60.62,58.26
a American person playing saxophone at the Statue of Liberty.,a American person playing saxophone at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/24ncL66QaKE.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts playing saxophone, a practice associated with American culture.",This image shows the Statue of Liberty in United States.,0.240472137928009,0.2757143497467041,0.3163890779018402,0.2705966174602509,5,4,5,1,30.03,77.74,1.05,99.59,0.0034,98.82,2.57,16.64,38.94,68.87,59.2,58.45
a American person playing saxophone at the Grand Canyon.,a American person playing saxophone at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/GAvczmGzZSQ.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts playing saxophone, a practice associated with American culture.",This image shows the Grand Canyon in United States.,0.2199093103408813,0.2312108725309372,0.283633542060852,0.2489790350198745,5,5,5,5,38.31,89.23,1.0,99.76,0.0042,99.23,2.85,15.82,40.0,69.69,62.11,61.19
a American person playing saxophone at Mount Rushmore.,a American person playing saxophone at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/60IXNH5wLGI.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts playing saxophone, a practice associated with American culture.",This image shows Mount Rushmore in United States.,0.2151071697473526,0.2402398407459259,0.2922783732414246,0.2343703925609588,5,4,5,5,57.38,85.83,1.0,99.84,0.0059,99.47,3.12,14.91,30.0,69.3,64.48,62.14
a American person dancing hip-hop at the Statue of Liberty.,a American person dancing hip-hop at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/dZNq6uGSbhs.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts dancing hip-hop, a practice associated with American culture.",This image shows the Statue of Liberty in United States.,0.2482934415340423,0.2724438726902008,0.2472443521022796,0.2921206772327423,5,2,4,5,9.35,91.25,1.48,98.29,0.0277,97.19,3.48,15.12,20.0,67.27,58.01,32.47
a American person dancing hip-hop at the Grand Canyon.,a American person dancing hip-hop at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/jlObcIolbuc.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts dancing hip-hop, a practice associated with American culture.",This image shows the Grand Canyon in United States.,0.2225997745990753,0.2314060568809509,0.2531001478433609,0.2618898957967758,5,3,4,5,19.2,89.96,1.34,99.7,0.0226,99.33,4.26,16.17,10.0,68.0,59.32,56.2
a American person dancing hip-hop at Mount Rushmore.,a American person dancing hip-hop at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/cngZpg1U4aw.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts dancing hip-hop, a practice associated with American culture.",This image shows Mount Rushmore in United States.,0.225043448805809,0.2338194400072097,0.2239404916763305,0.2774108231067657,5,3,4,5,1.79,16.71,1.49,99.53,0.0518,98.98,5.89,14.64,14.29,67.77,46.12,46.68
a American person dancing moonwalk at the Statue of Liberty.,a American person dancing moonwalk at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/R8T4qa2t-JI.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts dancing moonwalk, a practice associated with American culture.",This image shows the Statue of Liberty in United States.,0.2500399947166443,0.2647486209869384,0.2402278214693069,0.3036690890789032,5,1,1,5,19.33,58.34,1.4,98.73,0.0207,98.22,2.03,18.48,27.27,71.03,54.77,41.49
a American person dancing moonwalk at the Grand Canyon.,a American person dancing moonwalk at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/wqWcUWzWjJE.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts dancing moonwalk, a practice associated with American culture.",This image shows the Grand Canyon in United States.,0.2195862472057342,0.2273385465145111,0.2899816513061523,0.2628922462463379,5,1,2,5,6.69,90.46,1.43,99.61,0.0186,99.27,2.0,16.09,18.18,68.25,57.5,55.75
a American person dancing moonwalk at Mount Rushmore.,a American person dancing moonwalk at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/TX9jvvV4P8c.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts dancing moonwalk, a practice associated with American culture.",This image shows Mount Rushmore in United States.,0.2086588263511657,0.2179633647203445,0.2935579836368561,0.2840891301631927,5,1,4,5,15.51,94.1,1.16,99.95,0.0192,99.88,0.55,15.25,9.09,66.47,59.37,61.13
a American person dancing tap dance at the Statue of Liberty.,a American person dancing tap dance at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/HASv3-e0VVg.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts dancing tap dance, a practice associated with American culture.",This image shows the Statue of Liberty in United States.,0.254095196723938,0.272278493642807,0.2185923933982849,0.3028800904750824,5,1,1,5,15.24,72.89,1.4,98.75,0.0206,97.84,2.58,16.57,27.27,69.89,56.25,41.44
a American person dancing tap dance at the Grand Canyon.,a American person dancing tap dance at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/R4fKYW0kL3U.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts dancing tap dance, a practice associated with American culture.",This image shows the Grand Canyon in United States.,0.2262413948774337,0.2372382193803787,0.266532701253891,0.270565927028656,4,2,1,5,22.84,83.17,1.54,99.57,0.03,98.66,5.17,15.47,15.38,67.69,58.87,51.93
a American person dancing tap dance at Mount Rushmore.,a American person dancing tap dance at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/C3E6im4XcXo.mp4,This image belongs to United States.,This image shows an American person.,"This image depicts dancing tap dance, a practice associated with American culture.",This image shows Mount Rushmore in United States.,0.2394576281309128,0.2503858417272567,0.2226926386356353,0.2753161996603012,5,2,1,5,2.58,80.11,1.34,99.66,0.0434,98.34,5.42,14.05,11.11,66.86,55.4,50.02
a Romanian person eating sarmale at Bran Castle.,a Romanian person eating sarmale at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/aCFrjaWqQdc.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts eating sarmale, a practice associated with Romanian culture.",This image shows Bran Castle in Romania.,0.2280478924512863,0.2389028012752533,0.2859342336654663,0.1313439205288887,5,1,5,1,23.28,95.16,1.06,99.91,0.0095,99.67,5.31,13.09,33.33,67.36,60.7,62.46
a Romanian person eating sarmale at the Palace of Parliament.,a Romanian person eating sarmale at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/ZNQXNcIoD1A.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts eating sarmale, a practice associated with Romanian culture.",This image shows the Palace of Parliament in Romania.,0.225647297501564,0.2294517934322357,0.2753112733364105,0.1486475199460983,1,1,4,1,43.27,77.43,1.05,99.94,0.006,99.82,4.67,12.57,29.21,65.63,61.14,63.81
a Romanian person eating sarmale at the Wooden Churches of Maramureș.,a Romanian person eating sarmale at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/ZEStnv_q9RU.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts eating sarmale, a practice associated with Romanian culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2400499135255813,0.2531269013881683,0.2939711213111877,0.1678672581911087,1,2,1,1,41.95,84.78,1.18,99.85,0.004,99.27,6.36,12.22,25.77,66.9,62.0,62.58
