original_prompt,final_prompt,video_path,overall_cultural_relevance,person_cultural_relevance,action_cultural_relevance,location_cultural_relevance,overall_avg,person_avg,action_avg,location_avg,base_vs_single_avg,v_base_to_overall_cultural_relevance_avg_avg,v_base_to_person_cultural_relevance_avg_avg,v_base_to_action_cultural_relevance_avg_avg,v_base_to_location_cultural_relevance_avg_avg,v_base_to_original_prompt_avg_avg,v_base_to_final_prompt_avg_avg,v_var_to_overall_cultural_relevance_avg_avg,v_var_to_person_cultural_relevance_avg_avg,v_var_to_action_cultural_relevance_avg_avg,v_var_to_location_cultural_relevance_avg_avg,v_var_to_original_prompt_avg_avg,v_var_to_final_prompt_avg_avg,vlm_overall_score,vlm_person_score,vlm_action_score,vlm_location_score,vlm_visual_similarity_score,vlm_v_base_overall_score,vlm_v_base_person_score,vlm_v_base_action_score,vlm_v_base_location_score,vlm_v_base_original_prompt_score,vlm_v_base_final_prompt_score,vlm_v_var_overall_score,vlm_v_var_person_score,vlm_v_var_action_score,vlm_v_var_location_score,vlm_v_var_original_prompt_score,vlm_v_var_final_prompt_score,VQA_A,VQA_T,IS,clip_temp_score,warping_error,face_consistency_score,flow_score,clip_score,blip_bleu,sd_score,Visual_Quality,Temporal_Consistency
a Chinese person playing guzheng at West Lake.,"A young woman with long, dark hair styled in a traditional Chinese bun and adorned with a few delicate jasmine flowers sits cross-legged on a stone bench at the edge of West Lake, her slender fingers moving deftly over the strings of a beautifully crafted guzheng as she plays a soulful melody, the soft lapping of the lake's waters against the shore and the warm glow of sunset casting a serene ambiance around her.",/workspace/t2v_self/iter_t2v/results/single/videos/dKRrAI38PDI.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2232596933841705,0.263010960817337,0.3143320500850677,0.2364299148321151,0.7191006064414978,0.2195977300405502,0.2329142689704895,0.3202679932117462,0.2262199431657791,0.3500925719738006,0.2951448559761047,0.2232596933841705,0.263010960817337,0.3143320500850677,0.2364299148321151,0.3477371513843536,0.365929102897644,5,5,5,1,4,5,4,5,1,2,1,5,5,5,3,3,4,4.01,92.78,1.1,99.87,0.0065,99.33,2.39,16.44,0.04,78.6,57.46,62.36
a Chinese person playing guzheng at the Potala Palace.,"A young Chinese woman with long, dark hair styled in a traditional bun and wearing a vibrant silk cheongsam dress sits cross-legged on a intricately patterned Tibetan rug, her slender fingers deftly plucking the strings of a guzheng as she gazes out at the majestic Potala Palace's golden roofs and snow-capped Himalayan mountains rising behind it.",/workspace/t2v_self/iter_t2v/results/single/videos/FmLabp3rHz8.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2277790457010269,0.2406844317913055,0.2475610584020614,0.2503004968166351,0.6100055694580078,0.2180058628320694,0.2217210203409195,0.3168024837970734,0.1930544823408126,0.3311031639575958,0.3072443962097168,0.2277790457010269,0.2406844317913055,0.2475610584020614,0.2503004968166351,0.306143707036972,0.3664069294929504,5,4,3,5,2,4,3,5,1,1,1,5,4,2,5,2,1,7.55,92.7,1.05,99.97,0.0049,99.66,0.62,18.29,4.33,79.59,57.98,64.49
a Chinese person playing erhu at the Forbidden City.,"A middle-aged Chinese man with a gentle face, wispy black hair combed back, and wearing a traditional silk changshan in deep blue, sits cross-legged on a stone bench within the Forbidden City's tranquil Imperial Garden, his slender fingers deftly pressing the erhu's strings as he draws the bow across them, the melancholic notes echoing off the intricately carved wooden pavilions and majestic cypress trees under the warm glow of late afternoon sunlight.",/workspace/t2v_self/iter_t2v/results/single/videos/rC-y84o_48o.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2274506330490112,0.2750651180744171,0.3062852263450623,0.2183189511299133,0.6906162619590759,0.2150173902511596,0.2424179911613464,0.2554126232862472,0.1867076963186264,0.2585045576095581,0.2492128998041153,0.2274506330490112,0.2750651180744171,0.3062852263450623,0.2183189511299133,0.3355290234088898,0.3367746889591217,5,5,1,4,1,4,3,1,3,1,1,5,5,1,4,2,2,45.85,98.72,1.12,99.85,0.0147,99.77,1.46,17.59,0.04,78.37,64.6,60.61
a Chinese person playing erhu at West Lake.,"A middle-aged Chinese man with a gentle face, wispy eyebrows, and a hint of a smile, wearing a traditional silk changshan with intricate embroidery, sits cross-legged on a stone bench under a weeping willow tree at West Lake's Bai Causeway, his slender fingers moving deftly over the erhu's strings as he plays a soulful melody, the soft breeze rustling the leaves and carrying the sweet scent of blooming lotus flowers.",/workspace/t2v_self/iter_t2v/results/single/videos/MZlBNCqQAJM.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2295710265636444,0.2823931217193604,0.3098480820655823,0.2428290367126465,0.8008610010147095,0.234719181060791,0.2674522817134857,0.2697486877441406,0.2394201427698135,0.284644228219986,0.2739859163761139,0.2295710265636444,0.2823931217193604,0.3098480820655823,0.2428290367126465,0.3174578666687012,0.3360011100769043,5,5,1,3,3,4,4,5,1,2,1,5,5,1,2,1,2,46.23,95.46,1.07,99.84,0.0192,99.04,2.2,17.0,0.12,77.23,64.19,58.73
a Chinese person playing erhu at the Potala Palace.,"A young Chinese woman with a traditional qipao dress and her black hair styled in a sleek bun, sits cross-legged on the stone steps of the Potala Palace's White Palace, her fingers deftly pressing the erhu's strings as she draws the bow across them, the sound echoing off the palace walls adorned with vibrant Tibetan prayer flags fluttering gently in the high-altitude breeze.",/workspace/t2v_self/iter_t2v/results/single/videos/w8Pu9KFmF2k.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2300693690776825,0.2707810819149017,0.2856026351451873,0.2097855687141418,0.7915190100669861,0.2317158490419388,0.2639471590518951,0.3012109279632568,0.1952318549156189,0.2993378698825836,0.2451711550354957,0.2300693690776825,0.2707810819149017,0.2856026351451873,0.2097855687141418,0.3078154861927032,0.3058987498283386,5,5,1,1,2,5,3,5,2,2,1,5,5,1,5,2,2,19.11,94.82,1.0,99.85,0.0159,99.33,0.9,13.76,0.3,78.02,60.03,59.93
a Chinese person playing dizi at the Forbidden City.,"A middle-aged Chinese man with a wispy beard and a traditional Qing dynasty-style hat sits cross-legged on a stone bench in the Forbidden City's Imperial Garden, his fingers deftly covering and uncovering the holes of a polished bamboo dizi as he plays a soulful melody, the sound carrying through the crisp Beijing air amidst the vibrant colors of intricately carved wooden pavilions and lush greenery.",/workspace/t2v_self/iter_t2v/results/single/videos/WMS9dn0da7E.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2466168791055679,0.2863151788711547,0.3392886400222778,0.2489033877849578,0.8280982732772827,0.2549299031496048,0.2872827589511871,0.3221845805644989,0.2554465025663376,0.3384227156639099,0.2927054792642593,0.2466168791055679,0.2863151788711547,0.3392886400222778,0.2489033877849578,0.3408279180526733,0.3229641735553741,5,5,3,4,2,5,5,5,4,4,1,5,5,1,4,1,2,24.93,90.8,1.08,99.9,0.0139,99.9,1.32,15.48,0.25,78.69,60.32,61.56
a Chinese person playing dizi at West Lake.,"A middle-aged man with a gentle face, wispy eyebrows, and a hint of a smile plays a beautifully crafted bamboo dizi, its intricate carvings glinting in the warm sunlight, as he sits cross-legged on a stone bench overlooking the serene West Lake, surrounded by lush greenery and vibrant lotus flowers, with the majestic Leifeng Pagoda rising in the distance.",/workspace/t2v_self/iter_t2v/results/single/videos/ltAFOSSL2fM.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2336475729942321,0.2755737364292144,0.3075878739356995,0.244665515422821,0.7765278577804565,0.2336325764656067,0.2806525111198425,0.3274526298046112,0.2446678638458252,0.3292169392108917,0.3198151588439941,0.2336475729942321,0.2755737364292144,0.3075878739356995,0.244665515422821,0.3051904559135437,0.3573266804218292,5,5,5,5,2,5,5,1,1,1,1,5,5,1,5,2,2,16.85,69.02,1.06,99.61,0.0206,99.35,0.83,16.69,0.69,77.17,55.96,55.36
a Chinese person playing dizi at the Potala Palace.,"A Tibetan-Chinese musician with a warm, golden-brown complexion and piercing brown eyes, dressed in a traditional Tangzhuang embroidered with auspicious clouds, sits cross-legged on the stone steps of the Potala Palace's White Palace, his slender fingers deftly covering and uncovering the holes of a polished bamboo dizi as he plays a soulful melody, the sound carrying across the vast expanse of the Lhasa Valley under the golden light of sunset.",/workspace/t2v_self/iter_t2v/results/single/videos/h_cjrnElby4.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2522944658994674,0.2983296394348144,0.3259331524372101,0.2714551329612732,0.8050298452377319,0.2400911509990692,0.2756301522254943,0.3336387455463409,0.2374508768320083,0.3559202671051025,0.3162044584751129,0.2522944658994674,0.2983296394348144,0.3259331524372101,0.2714551329612732,0.3676786065101624,0.335887336730957,5,5,1,5,1,5,4,1,5,2,1,5,5,1,5,2,1,69.93,98.91,1.64,99.75,0.0182,99.11,2.57,14.32,0.1,77.72,68.21,57.7
a Chinese person dancing fan dance at the Forbidden City.,"A Chinese woman with a traditional qipao dress and her long black hair tied up in a elegant bun, dances a graceful fan dance with intricate hand movements and twirling silk fans, set against the majestic backdrop of the Forbidden City's Imperial Palace, surrounded by crimson walls and golden tiled roofs under the warm glow of sunset.",/workspace/t2v_self/iter_t2v/results/single/videos/pJAsjKuiizk.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2572215169668198,0.2937765896320343,0.2887235939502716,0.2603410124778748,0.809111726284027,0.2618936359882354,0.2925747752189636,0.2988438427448273,0.2699017345905304,0.3326289653778076,0.3268213927745819,0.2572215169668198,0.2937765896320343,0.2887235939502716,0.2603410124778748,0.3145455926656723,0.368474006652832,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,4,18.08,95.92,1.69,99.24,0.0586,99.14,7.19,16.42,1.82,77.91,59.99,41.15
a Chinese person dancing fan dance at West Lake.,"A slender Chinese woman with long, dark hair styled in a traditional qipao-inspired updo and wearing a vibrant silk hanfu dress in shades of emerald green and turquoise, her delicate fingers grasping a intricately designed silk fan, performs a mesmerizing fan dance on the banks of West Lake at sunset, the warm golden light casting a serene glow on the surrounding willow trees and lotus flowers.",/workspace/t2v_self/iter_t2v/results/single/videos/nCkWwlc9KWI.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2464428901672363,0.2729358106851577,0.27362742125988,0.2523141592741013,0.7780843257904053,0.2544885694980621,0.2841671705245971,0.2873879730701446,0.2796089649200439,0.3222465872764587,0.3208586305379867,0.2464428901672363,0.2729358106851577,0.27362742125988,0.2523141592741013,0.2896071553230285,0.3888722598552704,5,5,2,3,2,5,5,4,1,3,1,4,5,3,2,2,2,14.45,89.69,1.19,99.49,0.0265,98.84,6.57,20.05,0.37,77.9,58.57,51.74
a Chinese person dancing fan dance at the Potala Palace.,"A Chinese woman with a traditional qipao dress and her long black hair tied in a high bun, dances a elegant fan dance on the stone steps of the Potala Palace's White Palace, surrounded by fluttering prayer flags and beneath the bright blue Tibetan sky.",/workspace/t2v_self/iter_t2v/results/single/videos/Ve2AjqMOUmg.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.239334887266159,0.2721393883228302,0.3112414538860321,0.2733133256435394,0.808554220199585,0.2345730513334274,0.2770003139972686,0.3009683907032013,0.2395093470811843,0.3444020628929138,0.3167386412620544,0.239334887266159,0.2721393883228302,0.3112414538860321,0.2733133256435394,0.3548526108264923,0.3686256170272827,5,4,2,5,2,4,4,5,5,5,1,5,5,3,5,4,2,10.52,50.15,1.27,99.54,0.0347,97.42,2.45,20.58,3.72,79.81,52.27,49.44
a Chinese person dancing ribbon dance at the Forbidden City.,"A young Chinese woman with a traditional qipao dress and her long black hair tied in a high bun, dances the elegant ribbon dance with flowing movements of her arms and twirling ribbons, amidst the majestic backdrop of the Forbidden City's Meridian Gate under the warm glow of sunset.",/workspace/t2v_self/iter_t2v/results/single/videos/GlI9W7bSuNo.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2550119936466217,0.28665491938591,0.3106764256954193,0.2313776433467865,0.8121994853019714,0.2625097513198852,0.292375636100769,0.2901129126548767,0.2652005404233932,0.3385881304740906,0.3071456313133239,0.2550119936466217,0.28665491938591,0.3106764256954193,0.2313776433467865,0.3288804650306701,0.3542056024074554,5,5,5,5,3,5,5,5,5,5,2,5,5,5,5,5,2,56.86,95.89,1.53,99.19,0.0704,98.32,7.7,18.46,2.89,77.33,65.82,36.91
a Chinese person dancing ribbon dance at West Lake.,"A young woman with long, dark hair styled in a traditional Chinese bun and adorned with a crimson hairpin, wearing a flowing silk cheongsam in shades of pale pink and gold, dances the ribbon dance with elegant, sweeping movements on the banks of West Lake, surrounded by willow trees and lotus flowers, as the warm sunlight casts a golden glow across the serene waters.",/workspace/t2v_self/iter_t2v/results/single/videos/751y5y9A8ng.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2457086831331253,0.2801349937915802,0.2757785260677338,0.2557119578123092,0.7442133903503418,0.2452269971370697,0.2754311263561249,0.3079149842262268,0.2656135678291321,0.3269932866096496,0.2774405896663666,0.2457086831331253,0.2801349937915802,0.2757785260677338,0.2557119578123092,0.2981149971485138,0.3886384308338165,5,5,5,3,1,4,4,5,1,2,1,4,5,4,1,2,2,37.14,57.2,1.38,99.37,0.0359,97.27,12.11,16.84,1.07,77.52,57.28,46.57
a Chinese person dancing ribbon dance at the Potala Palace.,"A young Chinese woman with long, dark hair tied in a high ponytail and wearing a traditional Tibetan-inspired dress with intricate silver embroidery performs a graceful ribbon dance on the sun-kissed steps of the Potala Palace, her slender fingers deftly manipulating the flowing silk ribbons as she twirls to the rhythm of the music, surrounded by the majestic Himalayan mountains and the palace's imposing white walls adorned with colorful prayer flags fluttering in the breeze.",/workspace/t2v_self/iter_t2v/results/single/videos/66aqc6tuowk.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2397139877080917,0.2507025212049484,0.2716032594442367,0.256178992986679,0.7562398672103882,0.2424828380346298,0.2748144745826721,0.3101718366146088,0.2487005859613418,0.3484631240367889,0.3206371456384659,0.2397139877080917,0.2507025212049484,0.2716032594442367,0.256178992986679,0.3440386712551116,0.3333242416381836,5,5,5,2,4,4,4,5,1,2,1,5,4,5,5,5,5,29.22,83.13,1.5,99.47,0.1324,99.18,8.2,16.54,0.22,79.03,59.83,27.74
a Chinese person dancing umbrella dance at the Forbidden City.,"A Chinese woman with a traditional qipao dress and her long black hair tied in a neat bun, dances the elegant umbrella dance with fluid movements of her arms and twirls of her skirt, her red silk umbrella spinning above her head as she glides across the cobblestone courtyard of the Forbidden City's Imperial Palace, surrounded by majestic vermilion walls and golden roof tiles under the warm sunlight filtering through the misty morning air.",/workspace/t2v_self/iter_t2v/results/single/videos/2j1ZeKV3XKA.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing umbrella dance, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2624932706356048,0.2865012884140014,0.3212685823440552,0.2833733201026917,0.8461321830749512,0.2560179233551025,0.2831784069538116,0.3037296652793884,0.2729556202888489,0.3447373390197754,0.32712222635746,0.2624932706356048,0.2865012884140014,0.3212685823440552,0.2833733201026917,0.3671343266963959,0.3752242416143417,5,4,5,5,2,5,4,5,5,5,2,5,5,5,5,5,4,17.64,85.89,1.24,99.87,0.0141,99.52,2.75,14.82,0.59,78.16,58.5,60.8
