original_prompt,final_prompt,video_path,overall_cultural_relevance,person_cultural_relevance,action_cultural_relevance,location_cultural_relevance,overall_avg,person_avg,action_avg,location_avg,base_vs_parallel_avg,v_base_to_overall_cultural_relevance_avg_avg,v_base_to_person_cultural_relevance_avg_avg,v_base_to_action_cultural_relevance_avg_avg,v_base_to_location_cultural_relevance_avg_avg,v_base_to_original_prompt_avg_avg,v_base_to_final_prompt_avg_avg,v_var_to_overall_cultural_relevance_avg_avg,v_var_to_person_cultural_relevance_avg_avg,v_var_to_action_cultural_relevance_avg_avg,v_var_to_location_cultural_relevance_avg_avg,v_var_to_original_prompt_avg_avg,v_var_to_final_prompt_avg_avg,vlm_overall_score,vlm_person_score,vlm_action_score,vlm_location_score,vlm_visual_similarity_score,vlm_v_base_overall_score,vlm_v_base_person_score,vlm_v_base_action_score,vlm_v_base_location_score,vlm_v_base_original_prompt_score,vlm_v_base_final_prompt_score,vlm_v_var_overall_score,vlm_v_var_person_score,vlm_v_var_action_score,vlm_v_var_location_score,vlm_v_var_original_prompt_score,vlm_v_var_final_prompt_score,VQA_A,VQA_T,IS,clip_temp_score,warping_error,face_consistency_score,flow_score,clip_score,blip_bleu,sd_score,Visual_Quality,Temporal_Consistency
a Chinese person playing guzheng at West Lake.,"A Chinese woman with long, dark hair styled in a traditional qipao-inspired updo and wearing an elegant cheongsam dress sits cross-legged on a stone bench at West Lake, gently plucking the strings of the guzheng with her right hand while pressing down on the frets with her left, surrounded by willow trees and lotus flowers, with the misty hills of Xixi National Wetland in the background.",/workspace/t2v_self/iter_t2v/results/parallel/videos/Mn3nwcff2aQ.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2493599593639373,0.2762323379516601,0.3300131559371948,0.2684476137161254,0.7075326323509217,0.2195977300405502,0.2329142689704895,0.3202679932117462,0.2262199431657791,0.3500925719738006,0.3062871932983398,0.2493599593639373,0.2762323379516601,0.3300131559371948,0.2684476137161254,0.3464685380458832,0.3950756579637527,5,5,5,4,2,4,2,5,1,2,1,5,5,5,3,3,4,11.39,96.58,1.13,99.96,0.0049,99.62,2.07,15.44,1.04,77.94,59.11,64.3
a Chinese person playing guzheng at the Potala Palace.,"A Chinese woman with long, dark hair styled in a traditional qipao-inspired updo and adorned with silver hairpins, wearing an elegant cheongsam dress with intricate silk embroidery, sits cross-legged on a cushion with back straight at the majestic Potala Palace, its whitewashed walls and golden roofs glistening in the high-altitude sunlight of Lhasa, Tibet, gently plucking the strings of the guzheng with her right-hand plectrum and pressing the strings down with her left hand.",/workspace/t2v_self/iter_t2v/results/parallel/videos/-teBCa01zGU.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2547515660524368,0.2612379252910614,0.2498810827732086,0.316733169555664,0.6299843788146973,0.2180058628320694,0.2217210203409195,0.3168024837970734,0.1930544823408126,0.3311031639575958,0.2612687975168228,0.2547515660524368,0.2612379252910614,0.2498810827732086,0.316733169555664,0.3402958869934082,0.3700883477926254,5,5,5,5,3,4,3,5,1,2,1,5,5,5,5,5,5,12.06,88.36,1.06,99.94,0.0045,99.51,1.3,16.29,1.67,78.64,58.03,64.01
a Chinese person playing erhu at the Forbidden City.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, sits cross-legged on the stone pavement under the majestic Meridian Gate, its crimson walls and glazed tiles glistening in the golden light of sunset, and plays the erhu vertically between their legs, moving the bow deftly in a smooth, gliding motion to produce melancholic notes that resonate through the ancient courtyards of the Forbidden City.",/workspace/t2v_self/iter_t2v/results/parallel/videos/6-52oEDLTkM.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2488187760114669,0.2872807681560516,0.3118870198726654,0.2678058981895447,0.6650444626808166,0.2150173902511596,0.2424179911613464,0.2554126232862472,0.1867076963186264,0.2585045576095581,0.2371507480740547,0.2488187760114669,0.2872807681560516,0.3118870198726654,0.2678058981895447,0.3526603639125824,0.3400049448013306,5,5,2,5,2,4,3,5,1,2,1,5,5,1,5,2,1,27.05,94.97,1.1,99.95,0.0019,99.59,0.76,20.42,0.58,78.74,61.24,64.75
a Chinese person playing erhu at West Lake.,"A Chinese person with almond-shaped eyes, high cheekbones, and straight black hair tied in a low ponytail, wearing a traditional Cheongsam dress with intricate embroidery, sits cross-legged on a stone bench at West Lake, surrounded by weeping willows and traditional Chinese pagodas, holding an erhu vertically between their legs and drawing the bow across its two strings with a gentle, sawing motion as the warm glow of sunset reflects off the calm water.",/workspace/t2v_self/iter_t2v/results/parallel/videos/EAifiKyiEPE.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2363553315401077,0.2777387976646423,0.2966239333152771,0.2670181453227996,0.8397152185440063,0.234719181060791,0.2674522817134857,0.2697486877441406,0.2394201427698135,0.284644228219986,0.2411185279488563,0.2363553315401077,0.2777387976646423,0.2966239333152771,0.2670181453227996,0.306918716430664,0.3230812907218933,5,5,4,4,2,4,4,5,1,2,1,5,5,5,5,5,2,32.78,76.11,1.08,99.83,0.0133,99.23,1.38,15.6,0.09,78.07,59.37,60.15
a Chinese person playing erhu at the Potala Palace.,"A Chinese person with a rounded face, high cheekbones, and almond-shaped eyes, wearing a traditional changshan and a qipao-inspired scarf, sits cross-legged on the stone floor of the majestic Potala Palace, its whitewashed walls and golden roofs glistening in the high-altitude sunlight of Lhasa, Tibet, holding the erhu vertically between their legs and playing a mournful melody with one hand drawing the bow across the strings and the other pressing the strings against the neck.",/workspace/t2v_self/iter_t2v/results/parallel/videos/PbME-V_nY9o.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2400697082281112,0.2725385546684265,0.294232165813446,0.2804332196712494,0.7528465986251831,0.2317158490419388,0.2639471590518951,0.3012109279632568,0.1952318549156189,0.2993378698825836,0.2498255461454391,0.2400697082281112,0.2725385546684265,0.294232165813446,0.2804332196712494,0.3481244802474975,0.3442469090223312,5,5,2,5,1,4,3,5,2,2,1,5,5,2,5,3,2,25.26,92.11,1.09,99.95,0.0048,99.21,1.02,20.38,0.08,80.33,60.56,63.72
a Chinese person playing dizi at the Forbidden City.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, sits cross-legged on the stone pavement under the majestic Meridian Gate, with its terracotta-tiled roof and crimson walls, surrounded by the sprawling imperial grounds of the Forbidden City, holding a delicate dizi flute to their lips with both hands, fingers covering the holes as they blow air across the fipple to produce a gentle, lilting melody.",/workspace/t2v_self/iter_t2v/results/parallel/videos/5EsXdjDAz-0.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2447855979204178,0.2843989729881286,0.309584379196167,0.2373438626527786,0.8118902564048767,0.2549299031496048,0.2872827589511871,0.3221845805644989,0.2554465025663376,0.3384227156639099,0.315810751914978,0.2447855979204178,0.2843989729881286,0.309584379196167,0.2373438626527786,0.3311904489994049,0.3213077753782272,5,5,2,5,1,5,5,5,5,5,1,5,5,2,5,3,2,66.04,99.67,1.01,100.0,0.0006,99.95,0.09,16.87,0.31,76.56,67.78,66.02
a Chinese person playing dizi at West Lake.,"A Chinese person with a rounded face, high cheekbones, and almond-shaped eyes, wearing a traditional silk changshan shirt with intricate embroidery, sits cross-legged on a stone bench at West Lake, surrounded by willow trees and lotus flowers, with the misty hills of Xixi National Wetland in the background, holding a delicate bamboo dizi flute with both hands and blowing gently across the fipple hole while covering and uncovering the finger holes to produce a soothing melody.",/workspace/t2v_self/iter_t2v/results/parallel/videos/wEhUB2rIcUo.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2604554951190948,0.2884491860866546,0.3178623795509338,0.237639918923378,0.7874062776565551,0.2336325764656067,0.2806525111198425,0.3274526298046112,0.2446678638458252,0.3292169392108917,0.2840551108121872,0.2604554951190948,0.2884491860866546,0.3178623795509338,0.237639918923378,0.3077008545398712,0.3041072517633438,5,5,4,3,2,4,4,1,1,1,1,5,5,4,3,3,2,36.97,98.01,1.14,99.9,0.0026,99.3,0.64,15.0,0.24,78.26,63.16,63.67
a Chinese person playing dizi at the Potala Palace.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional silk changshan, sits cross-legged on the stone floor of the majestic Potala Palace, its whitewashed walls and red roofs gleaming in the high-altitude Tibetan sunlight, surrounded by fluttering prayer flags, holding a delicate dizi flute horizontally with both hands, their fingers covering and uncovering the holes to produce a lively melody.",/workspace/t2v_self/iter_t2v/results/parallel/videos/T0sSVjReJqo.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2371554285287857,0.2700422823429108,0.3015507102012634,0.2738315463066101,0.766269326210022,0.2400911509990692,0.2756301522254943,0.3336387455463409,0.2374508768320083,0.3559202671051025,0.2973253428936004,0.2371554285287857,0.2700422823429108,0.3015507102012634,0.2738315463066101,0.3496638596057891,0.3514437437057495,5,4,5,5,3,4,4,1,5,2,1,5,4,4,5,4,3,11.22,96.04,1.08,99.98,0.0043,99.9,0.23,17.75,0.66,78.56,59.01,64.89
a Chinese person dancing fan dance at the Forbidden City.,"A Chinese woman with long, dark hair styled in a traditional qipao-inspired updo, wearing a flowing red cheongsam dress with golden phoenix embroidery, stands upright with knees slightly bent, holding a colorful silk fan in each hand, twirling and swirling to traditional music with gentle wrist flicks and elegant arm waves as she dances fan dance in front of the majestic Meridian Gate, with the crimson walls and golden tiled roofs of the Forbidden City gleaming in the warm sunlight.",/workspace/t2v_self/iter_t2v/results/parallel/videos/qLjP8qgbvnk.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2525618255138397,0.2793543636798858,0.2971367120742798,0.2749669134616851,0.8742093443870544,0.2618936359882354,0.2925747752189636,0.2988438427448273,0.2699017345905304,0.3326289653778076,0.3162981480360031,0.2525618255138397,0.2793543636798858,0.2971367120742798,0.2749669134616851,0.3293488979339599,0.3234445810317993,5,5,5,5,4,5,5,4,5,5,2,5,5,5,5,5,4,17.63,97.24,1.44,99.71,0.0317,98.69,2.44,17.0,0.49,78.17,60.13,53.66
a Chinese person dancing fan dance at West Lake.,"A Chinese woman with long black hair styled in a traditional qipao-inspired updo, adorned with delicate silver hairpins, and wearing a flowing red cheongsam dress with intricate gold embroidery, stands poised on the banks of West Lake, surrounded by willow trees and lotus flowers, with the majestic Leifeng Pagoda rising in the background under a warm sunset glow, as she dances fan dance, her slender fingers grasping a delicate silk fan, her wrists rotating in fluid motions and her arms undulating like willow branches swaying in the breeze.",/workspace/t2v_self/iter_t2v/results/parallel/videos/yl8IDn-Zssk.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows West Lake in China.,0.264955323934555,0.2928227066993713,0.2862688779830932,0.2742778658866882,0.8168993949890136,0.2544885694980621,0.2841671705245971,0.2873879730701446,0.2796089649200439,0.3222465872764587,0.3352672666311264,0.264955323934555,0.2928227066993713,0.2862688779830932,0.2742778658866882,0.3074199199676514,0.3649140417575836,5,5,3,5,2,5,5,5,2,3,1,5,5,3,5,3,2,69.4,99.47,1.23,99.77,0.0247,99.51,3.14,13.71,0.36,76.86,68.24,56.94
a Chinese person dancing fan dance at the Potala Palace.,"A Chinese woman with long, dark hair styled in a traditional qipao-inspired updo and adorned with delicate silver pins, wearing a vibrant red cheongsam dress with intricate gold embroidery, stands with feet shoulder-width apart, knees slightly bent, and arms extended, gracefully swinging a colorful silk fan in circular motions while performing a traditional fan dance on the vast, windswept rooftop of the Potala Palace, with its majestic red and white walls and glittering golden roofs shining under the bright Tibetan sun.",/workspace/t2v_self/iter_t2v/results/parallel/videos/ML_x3esuhEk.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2580206632614136,0.2748772501945495,0.2995491743087768,0.2803076326847076,0.847393536567688,0.2345730513334274,0.2770003139972686,0.3009683907032013,0.2395093470811843,0.3444020628929138,0.305167493224144,0.2580206632614136,0.2748772501945495,0.2995491743087768,0.2803076326847076,0.3655638873577118,0.3227207839488983,5,4,5,5,2,5,5,5,5,5,2,5,4,5,5,5,3,25.27,86.74,1.51,99.23,0.0513,98.51,2.12,15.49,0.33,79.47,59.75,42.04
a Chinese person dancing ribbon dance at the Forbidden City.,"A Chinese woman with long, dark hair styled in a traditional qipao-inspired updo, wearing a vibrant red cheongsam dress adorned with golden phoenix patterns, dances the ribbon dance with elegance in front of the majestic Meridian Gate, her hands deftly manipulating a colorful silk ribbon as it swirls around her body in rhythmic waves, shimmering in the warm sunlight that illuminates the crimson walls and golden roof tiles of the Forbidden City.",/workspace/t2v_self/iter_t2v/results/parallel/videos/ePIVAFkmwCU.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2683151721954345,0.2909979462623596,0.3085872590541839,0.2720399171113968,0.8699142575263977,0.2625097513198852,0.292375636100769,0.2901129126548767,0.2652005404233932,0.3385881304740906,0.3226320713758469,0.2683151721954345,0.2909979462623596,0.3085872590541839,0.2720399171113968,0.3419419050216675,0.3476851552724838,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,34.31,94.52,1.41,99.5,0.0713,99.09,4.88,19.44,0.39,77.91,62.24,41.94
a Chinese person dancing ribbon dance at West Lake.,"A Chinese woman with long black hair in a high bun, wearing a traditional cheongsam dress with intricate floral patterns, dances the ribbon dance on the banks of West Lake, surrounded by willow trees and lotus flowers, as she twirls and leaps with elegant movements, her hands weaving a rhythmic pattern with a flowing silk ribbon whose colors shimmer in the warm glow of sunset, with the majestic Leifeng Pagoda rising in the background.",/workspace/t2v_self/iter_t2v/results/parallel/videos/cKikRk5Lr90.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows West Lake in China.,0.25426324903965,0.2787919819355011,0.3036627829074859,0.2672503530979156,0.7881855249404908,0.2452269971370697,0.2754311263561249,0.3079149842262268,0.2656135678291321,0.3269932866096496,0.2808327659964561,0.25426324903965,0.2787919819355011,0.3036627829074859,0.2672503530979156,0.3220966935157776,0.3572562247514724,5,5,5,4,3,4,4,5,1,3,1,5,5,5,4,4,4,39.29,89.86,1.48,99.46,0.0792,98.6,14.01,18.2,1.17,76.8,62.31,39.08
a Chinese person dancing ribbon dance at the Potala Palace.,"A Chinese woman with long black hair in a high bun, wearing a traditional cheongsam dress with intricate golden phoenix patterns, twirls and leaps with elegance on the rooftop of the Potala Palace, her hands manipulating a flowing silk ribbon in circular motions as she performs a traditional ribbon dance, set against the majestic white walls and golden roofs of the palace, with the snow-capped Himalayas looming in the background under a clear blue Tibetan sky.",/workspace/t2v_self/iter_t2v/results/parallel/videos/3BvuVqVRAZk.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.246427896618843,0.2645989954471588,0.3067437589168548,0.2879144728183746,0.808801805973053,0.2424828380346298,0.2748144745826721,0.3101718366146088,0.2487005859613418,0.3484631240367889,0.3240063220262527,0.246427896618843,0.2645989954471588,0.3067437589168548,0.2879144728183746,0.366670686006546,0.3681752771139145,5,5,5,5,2,4,4,5,1,2,1,5,5,5,5,5,5,9.03,84.44,1.56,99.49,0.0904,98.95,4.49,19.22,2.38,80.36,56.98,37.27
