original_prompt,final_prompt,video_path,overall_cultural_relevance,person_cultural_relevance,action_cultural_relevance,location_cultural_relevance,overall_avg,person_avg,action_avg,location_avg,base_vs_sequential_avg,v_base_to_overall_cultural_relevance_avg_avg,v_base_to_person_cultural_relevance_avg_avg,v_base_to_action_cultural_relevance_avg_avg,v_base_to_location_cultural_relevance_avg_avg,v_base_to_original_prompt_avg_avg,v_base_to_final_prompt_avg_avg,v_var_to_overall_cultural_relevance_avg_avg,v_var_to_person_cultural_relevance_avg_avg,v_var_to_action_cultural_relevance_avg_avg,v_var_to_location_cultural_relevance_avg_avg,v_var_to_original_prompt_avg_avg,v_var_to_final_prompt_avg_avg,vlm_overall_score,vlm_person_score,vlm_action_score,vlm_location_score,vlm_visual_similarity_score,vlm_v_base_overall_score,vlm_v_base_person_score,vlm_v_base_action_score,vlm_v_base_location_score,vlm_v_base_original_prompt_score,vlm_v_base_final_prompt_score,vlm_v_var_overall_score,vlm_v_var_person_score,vlm_v_var_action_score,vlm_v_var_location_score,vlm_v_var_original_prompt_score,vlm_v_var_final_prompt_score,VQA_A,VQA_T,IS,clip_temp_score,warping_error,face_consistency_score,flow_score,clip_score,blip_bleu,sd_score,Visual_Quality,Temporal_Consistency
a Chinese person playing guzheng at West Lake.,"A Chinese woman with long, dark hair styled in a traditional qipao-inspired updo and wearing an elegant cheongsam dress sits upright with her back straight, her fingers deftly plucking the strings of the guzheng with her right hand while her left hand presses down on the instrument's soundbox to produce resonant tones at West Lake, surrounded by lush green willows weeping into the serene water, with the majestic Leifeng Pagoda rising in the distance and a traditional wooden boat drifting lazily across the lake's surface.",/workspace/t2v_self/iter_t2v/results/sequential/videos/28vK3QSIhg0.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2541799485683441,0.2752225041389465,0.3126496076583862,0.2882335126399994,0.6805435419082642,0.2195977300405502,0.2329142689704895,0.3202679932117462,0.2262199431657791,0.3500925719738006,0.3447868794202804,0.2541799485683441,0.2752225041389465,0.3126496076583862,0.2882335126399994,0.3391057014465332,0.357193636894226,5,4,5,5,2,5,4,5,1,2,1,4,4,5,5,5,2,13.7,94.13,1.06,99.89,0.0042,98.87,2.05,18.63,0.01,79.91,59.11,62.76
a Chinese person playing guzheng at the Potala Palace.,"A Chinese woman with long, dark hair styled in a traditional qipao-inspired updo and adorned with silver hairpins, wearing an elegant cheongsam dress with intricate silk embroidery, sits upright with her back straight and feet tucked under her, playing guzheng with her right hand plucking the strings while her left hand presses the frets to produce resonant tones on the steps of the Potala Palace, surrounded by its majestic white walls and sloping roofs with golden finials glinting in the sunlight, set against a backdrop of the snow-capped Nyainqentanglha Mountains and the Lhasa Valley below.",/workspace/t2v_self/iter_t2v/results/sequential/videos/SGwDR0WgP88.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2381478101015091,0.2460692077875137,0.2371500521898269,0.274847412109375,0.5808426022529602,0.2180058628320694,0.2217210203409195,0.3168024837970734,0.1930544823408126,0.3311031639575958,0.2789746224880218,0.2381478101015091,0.2460692077875137,0.2371500521898269,0.274847412109375,0.3110061764717102,0.3067794203758239,5,5,5,5,3,4,3,5,1,2,1,5,5,5,5,5,4,7.26,98.08,1.13,99.94,0.0047,99.16,1.04,18.91,0.2,80.2,58.71,63.54
a Chinese person playing erhu at the Forbidden City.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, sits upright with her back straight, holding the erhu vertically on her left thigh, and draws the bow across its two strings with a smooth, flowing motion of her right arm in front of the majestic Meridian Gate of the Forbidden City, with its terracotta-tiled roofs and crimson walls glowing warmly in the soft, golden light of late afternoon.",/workspace/t2v_self/iter_t2v/results/sequential/videos/Ht6STm3hE80.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2582600235939026,0.2920203030109405,0.3406826734542846,0.2778021633625031,0.6662360191345215,0.2150173902511596,0.2424179911613464,0.2554126232862472,0.1867076963186264,0.2585045576095581,0.2250259160995483,0.2582600235939026,0.2920203030109405,0.3406826734542846,0.2778021633625031,0.371881103515625,0.3673532694578171,5,5,5,5,1,4,1,5,1,1,1,5,5,5,5,5,4,56.17,99.25,1.14,99.9,0.0072,99.36,1.22,17.46,0.07,77.83,66.23,62.68
a Chinese person playing erhu at West Lake.,"A Chinese person with almond-shaped eyes, high cheekbones, and straight black hair tied in a low ponytail, wearing a traditional Cheongsam dress with intricate embroidery, sits upright with her back straight, holding the erhu vertically on her left leg, using her left hand to press the strings onto the neck while her right hand draws the bow horizontally across the strings, playing erhu at West Lake surrounded by lush green willows and lotus flowers, with the Leifeng Pagoda standing majestically in the background under a warm sunset glow.",/workspace/t2v_self/iter_t2v/results/sequential/videos/aW9lqK_aRFE.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows West Lake in China.,0.248214641213417,0.281959718465805,0.306635320186615,0.2567412793636322,0.8082545518875122,0.234719181060791,0.2674522817134857,0.2697486877441406,0.2394201427698135,0.284644228219986,0.2500984087586403,0.248214641213417,0.281959718465805,0.306635320186615,0.2567412793636322,0.2901318848133087,0.3274943798780441,5,5,5,5,3,3,4,1,1,1,1,5,5,5,4,4,3,78.74,99.3,1.21,99.9,0.0133,99.58,1.11,17.32,0.02,77.2,69.62,61.42
a Chinese person playing erhu at the Potala Palace.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, sits cross-legged on a cushion with back straight, holding the erhu vertically on her left leg, drawing the bow horizontally across its two strings to produce a mournful melody in front of the majestic Potala Palace, with its whitewashed walls and red roofs glistening in the golden light of sunset against the backdrop of the snow-capped Himalayas.",/workspace/t2v_self/iter_t2v/results/sequential/videos/3F2d3w4P0x4.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2478829145431518,0.2821937084197998,0.312400609254837,0.2535720884799957,0.7781636834144592,0.2317158490419388,0.2639471590518951,0.3012109279632568,0.1952318549156189,0.2993378698825836,0.2774437308311462,0.2478829145431518,0.2821937084197998,0.312400609254837,0.2535720884799957,0.3330880463123321,0.3699380874633789,5,5,2,5,3,4,4,5,1,2,1,5,5,2,5,2,3,66.27,97.39,1.07,99.96,0.0098,99.83,0.38,18.77,0.04,78.58,67.48,63.27
a Chinese person playing dizi at the Forbidden City.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, holds the dizi vertically to their lips, covering the holes with their fingers as they blow air through the bamboo membrane, producing a soft, airy sound in front of the majestic Meridian Gate of the Forbidden City, with its terracotta-tiled roofs and imperial red walls illuminated by the warm glow of sunset.",/workspace/t2v_self/iter_t2v/results/sequential/videos/b-DpnnrOoWo.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2665325462818145,0.3056787610054016,0.3185321569442749,0.275419819355011,0.8134488582611084,0.2549299031496048,0.2872827589511871,0.3221845805644989,0.2554465025663376,0.3384227156639099,0.3071991831064224,0.2665325462818145,0.3056787610054016,0.3185321569442749,0.275419819355011,0.3377946078777313,0.367110475897789,5,5,4,5,2,5,5,5,4,4,1,5,5,4,5,4,2,63.55,97.74,1.16,99.82,0.0051,99.2,1.21,20.48,0.1,78.23,67.12,61.84
a Chinese person playing dizi at West Lake.,"A Chinese person with a rounded face, high cheekbones, and almond-shaped eyes, wearing a traditional silk changshan shirt with intricate embroidery, sits cross-legged on a stone bench at West Lake, surrounded by lush willows weeping into the water, with the majestic Leifeng Pagoda rising in the distance and a fleet of sampans drifting lazily across the lake's surface, holding the dizi flute horizontally with both hands, their fingers covering the holes as they blow air across the fipple to produce a gentle, lilting melody.",/workspace/t2v_self/iter_t2v/results/sequential/videos/gQChVUA5jF4.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2407824277877807,0.2793785691261291,0.3277981698513031,0.2569283485412598,0.8609538197517395,0.2336325764656067,0.2806525111198425,0.3274526298046112,0.2446678638458252,0.3292169392108917,0.261337861418724,0.2407824277877807,0.2793785691261291,0.3277981698513031,0.2569283485412598,0.3392358779907226,0.284912896156311,5,5,5,5,2,4,5,1,1,1,1,5,5,5,5,5,3,15.58,93.44,1.08,99.87,0.0063,98.69,1.6,14.2,0.04,78.78,59.29,61.76
a Chinese person playing dizi at the Potala Palace.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional silk changshan, holds the dizi vertically to their lips, covering the finger holes with delicate fingers as they blow air across the fipple to produce a gentle, lilting melody at the Potala Palace, set against the backdrop of the snow-capped Nyainqentanglha Mountains and surrounded by fluttering prayer flags and the majestic red and white walls of the former residence of the Dalai Lama.",/workspace/t2v_self/iter_t2v/results/sequential/videos/cxQc646IBb8.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2416464686393737,0.2776621162891388,0.3069863677024841,0.2480383455753326,0.7418815612792968,0.2400911509990692,0.2756301522254943,0.3336387455463409,0.2374508768320083,0.3559202671051025,0.2887246698141098,0.2416464686393737,0.2776621162891388,0.3069863677024841,0.2480383455753326,0.3374201953411102,0.3466027617454529,5,4,5,5,2,5,5,1,5,2,1,5,4,2,5,3,4,50.13,98.45,1.16,99.92,0.0039,99.4,1.56,18.69,0.12,78.81,65.2,63.73
a Chinese person dancing fan dance at the Forbidden City.,"A Chinese woman with long, dark hair styled in a traditional qipao-inspired updo, wearing a flowing red cheongsam dress with golden accents, stands with her feet shoulder-width apart and knees slightly bent, holding a delicate silk fan in each hand, as she performs a slow and elegant fan dance beneath the imposing Meridian Gate of the Forbidden City, surrounded by intricately carved vermilion walls and majestic imperial roofs that glimmer in the soft morning light.",/workspace/t2v_self/iter_t2v/results/sequential/videos/j_U86xQbUxA.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2587864339351654,0.2829769074916839,0.3182118535041809,0.2798736095428467,0.8522137761116028,0.2618936359882354,0.2925747752189636,0.2988438427448273,0.2699017345905304,0.3326289653778076,0.3063215285539627,0.2587864339351654,0.2829769074916839,0.3182118535041809,0.2798736095428467,0.3500346660614014,0.3610732942819595,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,3,24.59,93.94,1.16,99.92,0.0084,99.71,1.91,16.84,0.52,79.57,60.71,62.95
a Chinese person dancing fan dance at West Lake.,"A Chinese woman with long black hair styled in a traditional qipao-inspired updo, adorned with delicate silver hairpins, wearing an elegant cheongsam dress with intricate silk embroidery, stands poised with her feet shoulder-width apart and knees slightly bent, holding a pair of silk fans with both hands as she performs the fan dance on the banks of West Lake, surrounded by lush green willows weeping into the calm water, with the distant Leifeng Pagoda rising above the treetops under the warm golden light of sunset.",/workspace/t2v_self/iter_t2v/results/sequential/videos/ahWQon1bs44.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2655412971973419,0.2894243538379669,0.2746371746063232,0.2820243775844574,0.7926677227020263,0.2544885694980621,0.2841671705245971,0.2873879730701446,0.2796089649200439,0.3222465872764587,0.3456101685762405,0.2655412971973419,0.2894243538379669,0.2746371746063232,0.2820243775844574,0.2932974517345428,0.341475161910057,5,5,3,5,2,4,5,5,2,3,1,5,5,4,5,5,4,20.95,82.29,1.35,99.86,0.0209,99.71,2.41,13.16,0.17,78.24,58.47,59.16
a Chinese person dancing fan dance at the Potala Palace.,"A Chinese woman with long, dark hair styled in a traditional qipao-inspired updo, wearing a vibrant red cheongsam dress adorned with golden phoenix embroidery, stands with her feet shoulder-width apart and knees slightly bent, holding a delicate silk fan in each hand as she twirls and swirls to the rhythm, her arms undulating like a willow tree in the wind as she dances the traditional fan dance on the sun-kissed stone steps of the Potala Palace, with the majestic Himalayan mountains rising majestically in the background and the golden roofs of the palace gleaming in the warm light of sunset.",/workspace/t2v_self/iter_t2v/results/sequential/videos/TcEyz9jEhEE.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2488550275564193,0.269763445854187,0.2947870373725891,0.2705078840255737,0.7746959090232849,0.2345730513334274,0.2770003139972686,0.3009683907032013,0.2395093470811843,0.3444020628929138,0.2815534323453903,0.2488550275564193,0.269763445854187,0.2947870373725891,0.2705078840255737,0.3504740834236145,0.3396029442548752,5,4,5,5,3,5,5,5,5,5,2,5,4,5,5,5,3,21.71,91.75,1.32,99.83,0.0286,99.39,2.32,16.75,0.08,79.84,59.95,56.8
a Chinese person dancing ribbon dance at the Forbidden City.,"A Chinese woman with long, dark hair styled in a traditional qipao-inspired updo, wearing a vibrant red cheongsam dress adorned with golden phoenix patterns, holds a flowing silk ribbon in her right hand and dances with elegant, sweeping arm movements, twirling the ribbon around her body in intricate patterns as she glides across the majestic courtyard of the Forbidden City, surrounded by imposing crimson walls, beneath the watchful gaze of glazed tile roofs and the warm, golden light of late afternoon casting long shadows across the polished marble floors.",/workspace/t2v_self/iter_t2v/results/sequential/videos/LW4N-EUcmHI.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2488119214773178,0.2782090306282043,0.320032525062561,0.2562179327011108,0.8642897367477417,0.2625097513198852,0.292375636100769,0.2901129126548767,0.2652005404233932,0.3385881304740906,0.325280287861824,0.2488119214773178,0.2782090306282043,0.320032525062561,0.2562179327011108,0.3525932729244232,0.369723317027092,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,4,22.92,83.93,1.41,99.6,0.0507,98.9,5.6,17.62,0.27,77.16,59.0,47.94
a Chinese person dancing ribbon dance at West Lake.,"A Chinese woman with long black hair in a high bun, wearing a traditional cheongsam dress and dancing the ribbon dance with her slender fingers deftly manipulating the flowing silk ribbons as she twirls and leaps with gentle, ethereal movements on the banks of West Lake, surrounded by lush green willows weeping into the calm water, with the warm glow of sunset casting a golden light across the serene landscape.",/workspace/t2v_self/iter_t2v/results/sequential/videos/CQd6u3Z7tZw.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2581438720226288,0.280422568321228,0.2992588400840759,0.2673320233821868,0.7492834806442261,0.2452269971370697,0.2754311263561249,0.3079149842262268,0.2656135678291321,0.3269932866096496,0.2901374340057373,0.2581438720226288,0.280422568321228,0.2992588400840759,0.2673320233821868,0.321923691034317,0.3911462426185608,5,5,5,3,2,4,4,5,1,2,1,5,5,5,2,3,4,27.15,85.01,1.53,99.56,0.0526,99.39,6.84,19.0,0.34,78.12,59.78,47.3
a Chinese person dancing ribbon dance at the Potala Palace.,"A Chinese woman with long black hair in a traditional qipao dress and adorned with jade jewelry, her slender fingers grasping the silk ribbons as she twirls with gentle elegance, her wrists rotating in fluid motions, the colorful ribbons swirling around her like ethereal clouds, dancing ribbon dance at the foot of the majestic Potala Palace, its whitewashed walls and red roofs glistening in the high-altitude sunlight, set against the backdrop of the snow-capped Nyainqentanglha Mountains.",/workspace/t2v_self/iter_t2v/results/sequential/videos/MY2E4TcevUI.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2469877660274505,0.2674172639846802,0.3020283699035644,0.2830487251281738,0.8175731539726258,0.2424828380346298,0.2748144745826721,0.3101718366146088,0.2487005859613418,0.3484631240367889,0.3175367295742035,0.2469877660274505,0.2674172639846802,0.3020283699035644,0.2830487251281738,0.3797487318515777,0.3626624584197998,5,5,5,5,4,4,4,5,2,3,1,5,5,5,5,5,2,14.83,46.61,1.42,99.23,0.0865,98.32,7.01,21.32,0.69,79.63,52.4,33.9
